source,buyer,buyer_unit,vendor,listed_company,description,amount,date,award_id,url
usaspending,Department of Defense,Defense Logistics Agency,"AAR SUPPLY CHAIN, INC",,"8508849519!VALVE,CHECK",109554.15,2022-02-04,SPE7M422P1465,https://www.usaspending.gov/award/CONT_AWD_SPE7M422P1465_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8510193934!VALVE,SAFETY RELIEF",108450.0,2023-10-06,SPE7MC24P0094,https://www.usaspending.gov/award/CONT_AWD_SPE7MC24P0094_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,"8511282478!VALVE,FLOW CONTROL",107768.4,2025-03-28,SPE7M125F1476,https://www.usaspending.gov/award/CONT_AWD_SPE7M125F1476_9700_SPE7MX22D0021_9700
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8511548316!VALVE,CHECK",107156.4,2025-08-06,SPE7MC25P2496,https://www.usaspending.gov/award/CONT_AWD_SPE7MC25P2496_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,RENK SYSTEMS CORP,,"8508839082!VALVE,REGULATING,SY",106619.4,2022-02-01,SPE7M522P3421,https://www.usaspending.gov/award/CONT_AWD_SPE7M522P3421_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8511162753!VALVE,REGULATING,FL",106140.0,2025-02-03,SPE7M225V1448,https://www.usaspending.gov/award/CONT_AWD_SPE7M225V1448_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,Z AND K SERVICES INC.,,"8511871934!VALVE,GLOBE",102455.0,2026-01-21,SPE7M126P3372,https://www.usaspending.gov/award/CONT_AWD_SPE7M126P3372_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8511705200!VALVE,SOLENOID",102110.12,2025-10-27,SPE7MC26P0306,https://www.usaspending.gov/award/CONT_AWD_SPE7MC26P0306_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"AAR SUPPLY CHAIN, INC",,"8508297604!VALVE,CHECK",100935.2,2021-07-07,SPE7M421P1486,https://www.usaspending.gov/award/CONT_AWD_SPE7M421P1486_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,8511509223!VALVE ASSEMBLY,99000.0,2025-07-17,SPE7M125F2588,https://www.usaspending.gov/award/CONT_AWD_SPE7M125F2588_9700_SPE7MX22D0021_9700
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8508776372!VALVE,VACUUM BREAKI",97320.0,2022-01-04,SPE7M422P0935,https://www.usaspending.gov/award/CONT_AWD_SPE7M422P0935_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"SZCZYPSKI, MICHAEL",,"8511707363!REPAIR KIT,VALVE",94486.7,2025-10-27,SPE7MC26P0320,https://www.usaspending.gov/award/CONT_AWD_SPE7MC26P0320_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"AAR SUPPLY CHAIN, INC",,"8508870567!VALVE,SOLENOID",93328.8,2022-02-14,SPE7MX22F9359,https://www.usaspending.gov/award/CONT_AWD_SPE7MX22F9359_9700_SPE4A517D0038_9700
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8510905309!VALVE,SAFETY RELIEF",92332.9,2024-09-19,SPE7M124PA521,https://www.usaspending.gov/award/CONT_AWD_SPE7M124PA521_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,"8511645209!VALVE,BALL",91618.32,2025-09-16,SPE7M125F3212,https://www.usaspending.gov/award/CONT_AWD_SPE7M125F3212_9700_SPE7MX22D0021_9700
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,"8511245162!VALVE,BALL",91618.32,2025-03-13,SPE7M125F1251,https://www.usaspending.gov/award/CONT_AWD_SPE7M125F1251_9700_SPE7MX22D0021_9700
usaspending,Department of Defense,Defense Logistics Agency,AM GENERAL LLC,,"8511472498!VALVE,SOLENOID",91089.93,2025-06-30,SPE7MC25P2228,https://www.usaspending.gov/award/CONT_AWD_SPE7MC25P2228_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"WOMACK MACHINE SUPPLY CO., LLC",,"8510277792!MANIFOLD ASSEMBLY,H",90910.15,2024-06-03,SPE7M324P0437,https://www.usaspending.gov/award/CONT_AWD_SPE7M324P0437_9700_-NONE-_-NONE-
